# Kosta mnogo smqta
1765 = "Sredets"
2750 = "Filipopol"
150 = "Tsarevets"
3169 = "Boruy"
5082 = "Asenovgrad"
3168 = "Haskovo"
5080 = "Yambol"
3166 = "Pleven"
2746 = "Vidin"
3001 = "Skopie"
4780 = "Ohrid"
5099 = "Shtip"
3183 = "Bitolya"
3167 = "Pirin"
4705 = "Kumutsina"
5725 = "Kavala"
1319 = "Tasos"
148 = "Solun"
5083 = "Voden"
3170 = "Lozengrad"
149 = "Odrin"
2296 = "Dardaneli"
151 = "Tsarigrad"
1764 = "Nesebar"
5714 = "Sozopol"
3165 = "Varna"
5715 = "Dobrich"
159 = "Silistra"
3000 = "Nish"
5199 = "Kladovo"
4239 = "Belgrad"
161 = "Targovishte"
3164 = "Konstanta"
1756 = "Besarabiya"
2447 = "Fanagoriya"
5718 = "Ardzhesh"
2998 = "Buzau"
5717 = "Braila"
160 = "Kraiova"
4531 = "Malko Yorgovo"
7278 = "Byalgrad"
4529 = "Yash"
4530 = "Malki Halich"
5899 = "Obluchitsa"
5197 = "Orsovo"
4176 = "Branitchevo"
1827 = "Rash"
1853 = "Kostur"
5882 = "Devol"
3181 = "Kanina"
4174 = "Drach"
5889 = "Prizren"
5893 = "Vranya"
5890 = "Prishtina"
5888 = "Plevlya"
137 = "Dubrovnik"
3182 = "Shkoder"
138 = "Cherna Gora"
5062 = "Chernomen"
#
# From here on out can be used for South_Slavic, for serbian.txt (and I guess bosnian.txt and croatian.txt) specifically every 'ch' (like 'ch' in 'chill') should be replaced with `ć`
#
# Region: Italy
#
118 = "Rim"
125 = "Palermo"
4737 = "Agridzhento"
7003 = "Marsala"
7002 = "Kataniya"
2982 = "Sirakuza"
7004 = "Modika"
123 = "Kalabriya"
3274 = "Katantsaro"
2984 = "Kozentsa"
1934 = "Lukaniya"
122 = "Salento"
3286 = "Leche"
2983 = "Salerno"
1933 = "Bari"
3283 = "Melfi"
121 = "Neapol"
4734 = "Benevento"
2985 = "Kapitanata"
3269 = "San Severo"
3039 = "Kapua"
4733 = "Molize"
3127 = "Sora"
5707 = "Avetsano"
5708 = "Peskaro"
3234 = "Teramo"
120 = "Abrutso"
4732 = "Alatri"
3236 = "Aletri"
3107 = "Tivoli"
5706 = "Terni"
4731 = "Spoleto"
5580 = "Kambrino"
5712 = "Fermo"
119 = "Ankona"
3295 = "Viterbo"
5128 = "Orvieto"
2976 = "Perugia"
2977 = "Urbino"
5153 = "Pezaro"
3232 = "Sovana"
5709 = "Grozeto"
117 = "Siena"
3040 = "Plombino"
7005 = "Livorno"
7043 = "Elba"
2978 = "Aretso"
5710 = "Portiko"
5878 = "Montevarchi"
116 = "Florentsiya"
115 = "Piza"
2980 = "Luka"
3042 = "Masa"
5711 = "Rimini"
5136 = "Faensa"
114 = "Ravena"
4730 = "Bolonya"
113 = "Ferara"
3011 = "La Spetsiya"
101 = "Genoa"
2992 = "Savona"
102 = "Nitsa"
5169 = "Lunidzhiyana"
106 = "Modena"
105 = "Parma"
5149 = "Bardi"
7017 = "Piazentsa"
109 = "Mantua"
7019 = "Padua"
112 = "Venetsiya"
1774 = "Trevizo"
108 = "Veruna"
110 = "Trent"
7018 = "Vikenza"
3228 = "Beluno"
3616 = "Brezanon"
111 = "Udin"
3013 = "Tolmetso"
1769 = "Goritsiya"
4738 = "Triest"
130 = "Istriya"
4728 = "Paviya"
104 = "Milano"
1862 = "Kremona"
107 = "Bresha"
4739 = "Bergamo"
4740 = "Kom"
3054 = "Lugan"
5133 = "Lisandra"
3067 = "Asti"
2981 = "Monferat"
2979 = "Novara"
3249 = "Maserano"
3086 = "Domodosola"
3045 = "Aosta"
3078 = "Ivreya"
103 = "Torino"
3080 = "Pinerolo"
3074 = "Chieri"
4727 = "Salutso"
3076 = "Mondovi"
1875 = "Kuneo"
#
# Corsica
#
1247 = "Ayacho"
5092 = "Bastiya"
3097 = "Korte"
3098 = "Bonifacho"
#
# Sardinia
#
2986 = "Kaglieri"
5091 = "Sazari"
3103 = "Zhertsu"
3101 = "Otsieri"
127 = "Sivita"
3102 = "Sulchis"
#
# Region: France
#
#
# Ile-de-France
#
183 = "Parizh"
182 = "Valoa"
5142 = "Korbeil"
3010 = "Meo"
185 = "Nemur"
4388 = "Shartre"
3012 = "Pershe"
#
# Brittany
#
170 = "Finister"
3068 = "Kornail"
3029 = "Tregor"
3027 = "Kimperle"
171 = "Vaneta"
172 = "Nante"
4711 = "Rets"
4384 = "Rene"
3030 = "Sen-Malo"
#
# Normandy
#
4385 = "Kotentin"
3026 = "Granvil"
3025 = "Arzhentan"
168 = "Kan"
